样本编号,study_time,practice_count,homework_rate,quiz_score,participation,真实值,预测值,主要问题,推荐路径
S287,1.90733815922562,20,0.4104724613658427,48.52565176328293,0.1230942656569502,0.1672,0.3019740452380953,学习时长不足、作业完成较弱、基础知识掌握不足、课堂参与较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S120,1.4800567783007623,6,0.9472980300154308,42.348967682299914,0.3832880939143293,0.3284,0.3123125585317462,学习时长不足、练习不足、基础知识掌握不足、课堂参与较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S219,2.8939296211656664,13,0.5676981972430433,45.43377770129426,0.0748504178775212,0.3686,0.3138406610250861,学习时长不足、作业完成较弱、基础知识掌握不足、课堂参与较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S079,4.172572344628316,3,0.3479519336523177,64.89606587288135,0.5260681039618189,0.3155,0.3530147748051786,练习不足、作业完成较弱、基础知识掌握不足,增加每日练习 + 基础巩固 + 课后跟学 + 阶段性复盘
S025,5.837040163239779,18,0.3679098374460346,61.50404411671309,0.1920064203764183,0.4504,0.36666753871004326,作业完成较弱、基础知识掌握不足、课堂参与较弱,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S034,2.044693943548337,44,0.3667634060748989,63.24805654133049,0.0892468635625587,0.3799,0.36926028522866017,学习时长不足、作业完成较弱、基础知识掌握不足、课堂参与较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S114,7.960027989905386,0,0.3060349642268463,63.24030304671737,0.6841775222721208,0.3082,0.37894637615995097,练习不足、作业完成较弱、基础知识掌握不足,增加每日练习 + 基础巩固 + 课后跟学 + 阶段性复盘
S058,3.886994990465277,32,0.786820616348468,51.82692097356582,0.1800797828534164,0.4367,0.38281998409090917,作业完成较弱、基础知识掌握不足、课堂参与较弱,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S216,3.7972013793150863,39,0.6686548572888215,57.63043735784161,0.0972718259848611,0.2645,0.3872770958773255,作业完成较弱、基础知识掌握不足、课堂参与较弱,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S238,9.877424486807426,11,0.3557705591838811,67.11133548807592,0.5709471645221539,0.3324,0.3875115471230158,作业完成较弱、基础知识掌握不足,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S290,8.397183453516211,1,0.4657976380782021,45.6388659036631,0.5316816585602189,0.344,0.3981821189900742,练习不足、作业完成较弱、基础知识掌握不足,增加每日练习 + 基础巩固 + 课后跟学 + 阶段性复盘
S093,7.185010261643131,4,0.3379966340694632,87.01549874875631,0.2295912460489103,0.2865,0.4039009752802752,练习不足、作业完成较弱、课堂参与较弱,增加每日练习 + 基础巩固 + 课后跟学 + 阶段性复盘
S166,0.186023741507042,12,0.6618604227749979,91.09621225138348,0.8530411602367037,0.4726,0.41105225234487747,学习时长不足、作业完成较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S181,4.833640395659411,1,0.479312445736306,69.92229155563075,0.879822288176357,0.309,0.4178215926912958,练习不足、作业完成较弱、基础知识掌握不足,增加每日练习 + 基础巩固 + 课后跟学 + 阶段性复盘
S158,1.277222159941922,36,0.7117617771167658,71.39605733268495,0.2645966693459152,0.4634,0.4289355564445477,学习时长不足、作业完成较弱、课堂参与较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S239,6.79030628494809,0,0.3029748009378379,93.37913421922651,0.9996680048161224,0.412,0.4334046138888887,练习不足、作业完成较弱,增加每日练习 + 基础巩固 + 课后跟学 + 阶段性复盘
S061,0.6383649886041132,42,0.6623023800549929,82.33363203528057,0.735058652034584,0.4039,0.43472886931712096,学习时长不足、作业完成较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
S165,7.619742590505619,30,0.6188487967089386,42.82262681965263,0.3013684550187679,0.4922,0.44102926684914245,作业完成较弱、基础知识掌握不足、课堂参与较弱,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S240,4.064036012301968,45,0.7461774404598234,56.55102967571312,0.3329455124080319,0.5916,0.4429391118771753,作业完成较弱、基础知识掌握不足、课堂参与较弱,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S251,6.917569947072923,44,0.6129009801910676,40.23521873938167,0.2094424091669146,0.6273,0.44617222742467794,作业完成较弱、基础知识掌握不足、课堂参与较弱,按时完成作业 + 错题整理 + 及时订正 + 阶段性复盘
S193,0.0503950468755232,25,0.8882334529958862,92.56860644216192,0.2282634529941064,0.4719,0.45010413293650786,学习时长不足、课堂参与较弱,增加每日学习时间 + 制定周计划 + 番茄钟学习 + 阶段性复盘
