study_time,practice_count,homework_rate,quiz_score,participation,真实值,预测值,学习水平,主要问题,推荐路径
6.787289189321664,2,0.6504313385277597,72.60956757652184,0.6438061171411793,1.0,1.0,优秀拔高,练习不足,增加每日练习 + 基础巩固 + 课后跟学
8.717405856038457,2,0.8353528033579882,65.96787599879073,0.9261553231993884,1.0,1.0,优秀拔高,练习不足,增加每日练习 + 基础巩固 + 课后跟学
5.552127972238487,16,0.867498427910978,59.50477358910019,0.3500344810792278,1.0,1.0,优秀拔高,课堂参与较弱,提升课堂参与 + 互动式学习 + 重点知识回顾
0.6748188828918278,39,0.7825612761611312,91.01110774621044,0.1202855390469544,1.0,0.9714090784153814,优秀拔高,课堂参与较弱、学习时长不足,提升课堂参与 + 互动式学习 + 重点知识回顾
6.740734551052628,8,0.8144421743474122,87.88897023983134,0.0778221603820167,1.0,1.0,优秀拔高,课堂参与较弱、练习不足,增加每日练习 + 基础巩固 + 课后跟学
0.8216884792359891,30,0.8604382404281739,85.00752910950965,0.3544198119481158,1.0,0.9588371523969056,优秀拔高,课堂参与较弱、学习时长不足,提升课堂参与 + 互动式学习 + 重点知识回顾
4.319930453875536,7,0.5992971128302731,83.71114240410331,0.9985648425944949,1.0,1.0,优秀拔高,作业完成较弱、练习不足,增加每日练习 + 基础巩固 + 课后跟学
6.714532587337475,6,0.7996813515983718,62.51317183337305,0.3292497862014953,1.0,1.0,优秀拔高,课堂参与较弱、练习不足,增加每日练习 + 基础巩固 + 课后跟学
8.524715979835147,42,0.8088518142891828,99.42045538552829,0.5629645301304071,1.0,1.0,优秀拔高,整体表现较好,保持优势 + 拓展训练 + 能力提升
5.6930511805057264,14,0.8517806296037043,98.68555891781158,0.9453654576860998,1.0,1.0,优秀拔高,整体表现较好,保持优势 + 拓展训练 + 能力提升
6.55953871848279,43,0.7878349862331774,69.4392952752389,0.6326265322570782,1.0,1.0,优秀拔高,整体表现较好,保持优势 + 拓展训练 + 能力提升
